Lateral(mm),Vertical(mm),Raw(µm)
2.283895731,10,NaN
2.293740273,10,-330.23832
2.303584576,10,-330.4647728
2.313428879,10,-329.4986239
2.32327342,10,-330.0030522
2.333117723,10,-330.129943
2.342962027,10,-330.1269154
2.352806568,10,-330.0396512
2.362650871,10,-329.8239155
2.372495174,10,-329.7477971
2.382339716,10,-329.4563984
2.392184019,10,NaN
2.402028322,10,NaN
2.411872864,10,-328.2906161
2.421717167,10,-328.8333314
2.43156147,10,-328.7184706
2.441405773,10,-328.2314576
2.451250315,10,-328.6040921
2.461094618,10,-328.5330643
2.470938921,10,NaN
2.480783463,10,-327.7640837
2.490627766,10,-327.8365583
2.500472069,10,-328.7219805
2.51031661,10,-327.7558047
2.520160913,10,-328.0891877
2.530005217,10,-328.2235805
2.539849758,10,-328.2948494
2.549694061,10,NaN
2.559538364,10,-327.3291559
2.569382906,10,-327.4658797
2.579227209,10,-327.157414
2.589071512,10,-327.3438652
2.598916054,10,-327.1873147
2.608760357,10,-326.86489
2.61860466,10,-326.6706153
2.628448963,10,NaN
2.638293505,10,NaN
2.648137808,10,-326.0756004
2.657982111,10,-326.418602
2.667826653,10,-326.6310959
2.677670956,10,-326.7146627
2.687515259,10,-326.7293183
2.6973598,10,-327.118618
2.707204103,10,NaN
2.717048407,10,NaN
2.726892948,10,-325.3538019
2.736737251,10,-325.5359127
2.746581554,10,-325.746397
2.756426096,10,-325.9204432
2.766270399,10,-325.9744039
2.776114702,10,-324.9902234
2.785959244,10,NaN
2.795803547,10,-325.3515245
2.80564785,10,NaN
2.815492153,10,-324.7467571
2.825336695,10,-323.8058469
2.835180998,10,-324.3603243
2.845025301,10,-324.2802941
2.854869843,10,-324.4184379
2.864714146,10,NaN
2.874558449,10,NaN
2.88440299,10,NaN
2.894247293,10,NaN
2.904091597,10,NaN
2.913936138,10,NaN
2.923780441,10,NaN
2.933624744,10,NaN
2.943469286,10,NaN
2.953313589,10,NaN
2.963157892,10,NaN
2.973002434,10,NaN
2.982846737,10,NaN
2.99269104,10,NaN
3.002535582,10,NaN
3.012379885,10,NaN
3.022224188,10,NaN
3.032068491,10,NaN
3.041913033,10,NaN
3.051757336,10,NaN
3.061601639,10,NaN
3.07144618,10,NaN
3.081290483,10,NaN
3.091134787,10,NaN
3.100979328,10,NaN
3.110823631,10,NaN
3.120667934,10,NaN
3.130512476,10,NaN
3.140356779,10,NaN
3.150201082,10,NaN
3.160045624,10,NaN
3.169889927,10,NaN
3.17973423,10,NaN
3.189578772,10,NaN
3.199423075,10,NaN
3.209267378,10,NaN
3.219111681,10,NaN
3.228956223,10,NaN
3.238800526,10,NaN
3.248644829,10,-319.0465049
3.25848937,10,-319.2100483
3.268333673,10,NaN
3.278177977,10,NaN
3.288022518,10,NaN
3.297866821,10,-317.7300398
3.307711124,10,-317.6096329
3.317555666,10,NaN
3.327399969,10,-318.8676628
3.337244272,10,-318.832859
3.347088814,10,-318.7801039
3.356933117,10,-318.7201952
3.36677742,10,-317.2868331
3.376621962,10,-317.9544833
3.386466265,10,-317.9367732
3.396310568,10,-317.2404547
3.406154871,10,-317.6626559
3.415999413,10,-318.056296
3.425843716,10,-317.5506619
3.435688019,10,-317.7059531
3.44553256,10,NaN
3.455376863,10,-316.9183247
3.465221167,10,-316.890219
3.475065708,10,-317.6905472
3.484910011,10,-316.5290518
3.494754314,10,-316.6020355
3.504598856,10,-317.1134032
3.514443159,10,NaN
3.524287462,10,NaN
3.534132004,10,-316.1250162
3.543976307,10,-316.2146649
3.55382061,10,-316.2279006
